brand_id,brand_name_canonical,brand_slug,brand_code_legacy,has_logo,logo_filename,source_primary,source_refs,is_active,notes
ACM,ACMELEON,acmeleon,,true,2d557c9ffb111ae9cfac7c7f101e8562.png,brands.xlsx,"brands.xlsx,brands.json",true,
ALI,ALICO,alico,,true,75cdba5e5089b97c357c54b52028f646.png,brands.xlsx,"brands.xlsx,brands.json",true,
AMI,AMI,ami,,true,2e3da7d0f5979b5deb59a6f1fb9cba26.png,brands.xlsx,"brands.xlsx,brands.json",true,
ART,ARTESANAL,artesanal,,false,,brands.xlsx,brands.xlsx,true,
BAM,BAMBU,bambu,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
BARVAL,BARVAL,barval,,true,4e5dc31ced50e66a1e0e8f6b25f5c351.png,brands.xlsx,"brands.xlsx,brands.json",true,
CAJ,CAJAS Y ESTILOS,cajas-y-estilos,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
carlyplast,carlyplast,carlyplast,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
CAI,CARVAJAL,carvajal,,true,dfa005d4454232d0ff555f93b11b5d57.jpeg,brands.xlsx,"brands.xlsx,brands.json",true,
CEL,CELLUX,cellux,,true,3a0b76ed2d233764d9dd39abf2b82aa2.png,brands.xlsx,"brands.xlsx,brands.json",true,
CHE,CHEVERE,chevere,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
53490822,CINTAS Y PEGAS,cintas-y-pegas,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
COENPLAST,COENPLAST,coenplast,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
DAR,DARNEL,darnel,,true,c9633753766dba7a87712c387ee56a4a.jpg,brands.xlsx,"brands.xlsx,brands.json",true,
DIS,DISTRIPLAS,distriplas,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
CAR,ECOBOLSAS-CARIBE,ecobolsas-caribe,,true,76c8a10d3c9d8dc44eba88277150b64c.jpeg,brands.xlsx,"brands.xlsx,brands.json",true,
ECOPLASTER,ECOPLASTER,ecoplaster,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
ECOVASOS,ECOVASOS,ecovasos,,true,87ec4cf515f8f9ecc1b07f000d07ce46.PNG,brands.xlsx,"brands.xlsx,brands.json",true,
ELC,EL CONTAINER,el-container,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
ELR,EL REY,el-rey,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
ELS,EL SOL,el-sol,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
ELI,ELITE,elite,,true,964e9e64aa24205ad6077b82fd346878.png,brands.xlsx,"brands.xlsx,brands.json",true,
ETE,ETERNA,eterna,,true,cb90ab5a681f29ebba9df323898588a9.png,brands.xlsx,"brands.xlsx,brands.json",true,
FAO,FABOL,fabol,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
FAR,FABRICA PALITOS,fabrica-palitos,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
FAB,FABRIPOR,fabripor,,true,93a0417d5028bc6da423fc0f1c01aade.jpg,brands.xlsx,"brands.xlsx,brands.json",true,
FAD,FADEVESA,fadevesa,,true,646ceb57735993489212358a6cfce7ec.png,brands.xlsx,"brands.xlsx,brands.json",true,
FAM,FAMILIA,familia,,true,04af5a49f14684abe3b96acbb335bd6f.png,brands.xlsx,"brands.xlsx,brands.json",true,
FAY,FAYCO,fayco,,true,9bc4012bd220364402b70a33903e8d54.png,brands.xlsx,"brands.xlsx,brands.json",true,
FESTIVAL,FESTIVAL,festival,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
FLO,FLORIDA,florida,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
FORMOSA,FORMOSA,formosa,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
FRE,FRESCH,fresch,,true,802ac334357b6d162265677fda9401c0.jpg,brands.xlsx,"brands.xlsx,brands.json",true,
01,GENERAL,general,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
GOLDEN,GOLDEN,golden,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
GUT,GUTVAN,gutvan,,true,9a1e8c7b9cb6d342353797ad0b55ac51.png,brands.xlsx,"brands.xlsx,brands.json",true,
HOU,HOUSE,house,,true,d544c71766efdbddbdb313267fb8ee14.png,brands.xlsx,"brands.xlsx,brands.json",true,
ICO,ICOPORMEDELLIN,icopormedellin,,true,0ffe4b5c35dca7b35fd682cf14320d60.jpeg,brands.xlsx,"brands.xlsx,brands.json",true,
INC,INCOLPA,incolpa,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
INO,INCOMAD S.A.S.,incomad-s-a-s,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
INN,INNOVARTE,innovarte,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
JAZ,JAZA,jaza,,true,c172b0a9c3039af0188f4c7361ed4719.jpg,brands.xlsx,"brands.xlsx,brands.json",true,
JOR,JORGE HERNANDEZ,jorge-hernandez,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
JPLAST,JPLAST,jplast,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
LAR,LAR,lar,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
LAS,LASTRA,lastra,,true,52a4c55bfb3690e0c52075385a919ce1.jpg,brands.xlsx,"brands.xlsx,brands.json",true,
MED,MEDIMAX,medimax,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
MEDSONIC,MEDSONIC,medsonic,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
MI,MI CHEF,mi-chef,,true,ee3f270551296510d50a0b0b05e15158.png,brands.xlsx,"brands.xlsx,brands.json",true,
milcajas,MILCAJAS,milcajas,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
MIO,MIO,mio,,true,6ed73d6cd6f710cab275eb2863de296b.png,brands.xlsx,"brands.xlsx,brands.json",true,
MIX,MIX,mix,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
NEL,NELTA,nelta,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
NOV,NOVAPLAST,novaplast,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
NUB,NUBE,nube,,true,35e917afdbed276fb04752a7662e973b.png,brands.xlsx,"brands.xlsx,brands.json",true,
ONE,ONE,one,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
OPT,OPTIONSA,optionsa,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
PAP,PAPELES REGIONALES,papeles-regionales,,true,09222c78829c0195ac7ca327995f0f30.jpeg,brands.xlsx,"brands.xlsx,brands.json",true,
PAR,PARAFIN MEDELLI,parafin-medelli,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
PELE Y LONA,PELETERIA Y LOMAS,peleteria-y-lomas,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
PHO,PHOENIX,phoenix,,true,329a33f8934d2471bd04b6f0e7647610.png,brands.xlsx,"brands.xlsx,brands.json",true,
PIE,PIEDRAHITA,piedrahita,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
JD,PLASTICOS JD,plasticos-jd,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
33187504,PLASTIGARZON,plastigarzon,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
PLA,PLASTIMAX,plastimax,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
PLS,PLASTISAG,plastisag,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
PRO,PRODESCOL,prodescol,,true,26e64432148863f79239ddf938803613.jpeg,brands.xlsx,"brands.xlsx,brands.json",true,
CRE,PROMOCIONES FANTASTICAS,promociones-fantasticas,,true,201b6b47b29faf24d250e24f1441c508.jpeg,brands.xlsx,"brands.xlsx,brands.json",true,
PRT,PROTEX,protex,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
QUI,QUINTER,quinter,,true,8b1e14d2b997c0a1340e72b63138e3c4.jpeg,brands.xlsx,"brands.xlsx,brands.json",true,
REFISAL,REFISAL,refisal,,true,62a614b9050334959610c1d0d1381b34.jpg,brands.xlsx,"brands.xlsx,brands.json",true,
REGIONAL,REGIONAL,regional,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
RINHO,RINHO,rinho,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
SANTAMARIA,SANTAMARIA,santamaria,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
skaap,SKAAP,skaap,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
SNE,SNEIDER,sneider,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
SOL,SOLUZZIPER,soluzziper,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
STAR PLASTIC,STAR PLASTIC,star-plastic,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
SPLAST,SUPERPLAST,superplast,,true,a285ee9b81fb535d1bd7b538e99e7aca.jpg,brands.xlsx,"brands.xlsx,brands.json",true,
SUQ,SUQUIN S.A.S.,suquin-s-a-s,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
TAMI,TAMI,tami,,true,33515b77c3b80ba45fd0f95ead217774.jpeg,brands.xlsx,"brands.xlsx,brands.json",true,
TATI,TATIPLAS,tatiplas,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
TEC,TECNIROLLOS,tecnirollos,,true,0c4eef34b2ab37481bf23c8c2670aba1.png,brands.xlsx,"brands.xlsx,brands.json",true,
TIS,TISU,tisu,,true,8221217e25cc26209ea2d64411bd76eb.png,brands.xlsx,"brands.xlsx,brands.json",true,
TOD,TODO ASEO,todo-aseo,,true,33dd1866e015a450201ad66192915481.png,brands.xlsx,"brands.xlsx,brands.json",true,
UNI,UNIBOL,unibol,,true,72f410c0470502b096d9c22db6a5b8f4.png,brands.xlsx,"brands.xlsx,brands.json",true,
URIBE PLAST,URIBE PLAST,uribe-plast,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
VAS,VASANDER,vasander,,true,8b0f46a2d44d906fd0735818e9b3c6a1.jpg,brands.xlsx,"brands.xlsx,brands.json",true,
VALERO,WILLIVALERO,willivalero,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
YESTER,YESTER,yester,,false,,brands.xlsx,"brands.xlsx,brands.json",true,
