norm_id,field,original_value,normalized_value,normalization_type,source,usage_count,confidence,status,last_reviewed_by,last_reviewed_at
ND00001,brand,Acme Leon,ACMELEON,strict_nk_single_xlsx,marcas_oraculo.json,14,,propuesto,,
ND00002,brand,Bambu,BAMBU,strict_nk_single_xlsx,marcas_oraculo.json,24,,propuesto,,
ND00003,brand,Chevere,CHEVERE,strict_nk_single_xlsx,marcas_oraculo.json,30,,propuesto,,
ND00004,brand,Darnel,DARNEL,strict_nk_single_xlsx,marcas_oraculo.json,348,,propuesto,,
ND00005,brand,El Rey,EL REY,strict_nk_single_xlsx,marcas_oraculo.json,42,,propuesto,,
ND00006,brand,El Sol,EL SOL,strict_nk_single_xlsx,marcas_oraculo.json,34,,propuesto,,
ND00007,brand,Fabripor,FABRIPOR,strict_nk_single_xlsx,marcas_oraculo.json,14,,propuesto,,
ND00008,brand,Familia,FAMILIA,strict_nk_single_xlsx,marcas_oraculo.json,10,,propuesto,,
ND00009,brand,Fayco,FAYCO,strict_nk_single_xlsx,marcas_oraculo.json,2,,propuesto,,
ND00010,brand,Formosa,FORMOSA,strict_nk_single_xlsx,marcas_oraculo.json,4,,propuesto,,
ND00011,brand,Golden,GOLDEN,strict_nk_single_xlsx,marcas_oraculo.json,22,,propuesto,,
ND00012,brand,Gutvan,GUTVAN,strict_nk_single_xlsx,marcas_oraculo.json,20,,propuesto,,
ND00013,brand,House,HOUSE,strict_nk_single_xlsx,marcas_oraculo.json,38,,propuesto,,
ND00014,brand,Medsonic,MEDSONIC,strict_nk_single_xlsx,marcas_oraculo.json,22,,propuesto,,
ND00015,brand,Mi Chef,MI CHEF,strict_nk_single_xlsx,marcas_oraculo.json,8,,propuesto,,
ND00016,brand,Mio,MIO,strict_nk_single_xlsx,marcas_oraculo.json,112,,propuesto,,
ND00017,brand,Nube,NUBE,strict_nk_single_xlsx,marcas_oraculo.json,16,,propuesto,,
ND00018,brand,Papeles Regionales,PAPELES REGIONALES,strict_nk_single_xlsx,marcas_oraculo.json,16,,propuesto,,
ND00019,brand,Regional,REGIONAL,strict_nk_single_xlsx,marcas_oraculo.json,2,,propuesto,,
ND00020,brand,Superplast,SUPERPLAST,strict_nk_single_xlsx,marcas_oraculo.json,12,,propuesto,,
ND00021,brand,Tami,TAMI,strict_nk_single_xlsx,marcas_oraculo.json,38,,propuesto,,
ND00022,brand,Tisu,TISU,strict_nk_single_xlsx,marcas_oraculo.json,6,,propuesto,,
ND00023,brand,Unibol,UNIBOL,strict_nk_single_xlsx,marcas_oraculo.json,4,,propuesto,,
ND00024,brand,Vasander,VASANDER,strict_nk_single_xlsx,marcas_oraculo.json,8,,propuesto,,
